"CAT","AN","Q_CAT","Q_AN","FORMULA","Name","IDENT","M_WT","CAT_WT","AN_WT","Max","FLD","Ink","A_WT","ShowCalc","NoMol","FCALC","Visible","order","ShowOrder","Format","Flag","System","qAtom","Atoms","SimpleComp"
"Zr","O",1,2,"ZrO2","ZrOâ","zr",123.2228012084961,,,0.699999988079071,"ZrO2",false,,true,false,"ZrO2,RmOn,ZrmOn,RO2",0,0,1,"##0.##;##0.00;\-;\*",1,"RO2",3,"Zr 1 91.224 O 2 15.9994 ",
"Zr","F",1,4,"ZrF4","ZrFä","zrf4",167.2176055908203,,,0.699999988079071,,false,,true,false,"RFn,RHaln,RF4",0,0,2,"##0.##;##0.00;\-;\*",1,"Halides",5,"Zr 1 91.224 F 4 18.9984 ",
"Pd","O",1,1,"PdO","PdO","pd",122.41940307617188,,,0.699999988079071,,false,,false,false,"PdO,RmOn,PdmOn,RO",0,0,1,"##0.##;##0.00;\-;\*",1,"RO",2,"Pd 1 106.42 O 1 15.9994 ",
"K","S",2,1,"K2S","KâS","k2s",110.26260375976562,,,0.699999988079071,,false,,false,false,,0,0,3,"##0.##;##0.00;\-;\*",1,"Others",3,"K 2 39.0983 S 1 32.066 ",
"Sb","S",2,3,"Sb2S3","SbâSã","sb2s3",339.697998046875,,,0.699999988079071,,false,,false,false,,0,0,3,"##0.##;##0.00;\-;\*",1,"Others",5,"Sb 2 121.75 S 3 32.066 ",
"Ti","O",1,1,"TiO","TiO","ti2",63.879398345947266,,,0.699999988079071,,false,,false,false,"TiO,RmOn,TimOn,RO",0,0,1,"##0.##;##0.00;\-;\*",1,"RO",2,"Ti 1 47.88 O 1 15.9994 ",
"Rh",,1,,"Rh","Rh","rh0",102.90550231933594,,,0.699999988079071,,false,,false,false,,0,0,3,"##0.##;##0.00;\-;\*",1,"Others",1,"Rh 1 102.9055 ",
"Pt","O",1,1,"PtO","PtO","pt2",211.07940673828125,,,0.699999988079071,,false,,false,false,"PtO,RmOn,PtmOn,RO",0,0,1,"##0.##;##0.00;\-;\*",1,"RO",2,"Pt 1 195.08 O 1 15.9994 ",
"P","Cl",1,5,"PCl5","PClå","pcl5",208.2373046875,,,0.699999988079071,,false,,false,false,"RHaln,RHal",0,0,2,"##0.##;##0.00;\-;\*",1,"Halides",6,"P 1 30.97376 Cl 5 35.4527 ",
,,,,"Na2HPO4","NaâHPOä","na2hpo",141.95880126953125,,,0.699999988079071,,false,,false,true,,0,0,3,"##0.##;##0.00;\-;\*",1,"Others",8,"Na 2 22.98977 H 1 1.00794 P 1 30.97376 O 4 15.9994 ","Na2O 1 H2O 0.5 P2O5 0.5"
